EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
,8720589854604,B0DJH3BRR3,Home Smart - Hot Water Bottle Cover - Fleece - Blue - 2L,https://www.clearance-king.co.uk/hot-water-bottle-3.html,https://www.amazon.co.uk/dp/B0DJH3BRR3,,Available (see Keepa data),,1.0,0.62,0.5166666666666667,22.99,19.15833333333333,3.45,3.15,3.8316666666666666,0.10333333333333333,12.558333333333334,3.728333333333333,8.33,16.12258064516129,7.720000000000001,0.4347977381470205
,,B0C5J2Y36Q,DOG SQUEAKY BLUE BONE SHAPE TOY,https://www.clearance-king.co.uk/dog-squeaky-blue-bone-shape-toy-12-240-mgj5133.html,https://www.amazon.co.uk/dp/B0C5J2Y36Q,50.0,,,,0.58,0.48333333333333334,19.99,16.65833333333333,2.9984999999999995,2.8,3.3316666666666666,0.09666666666666666,10.85983333333333,3.235,7.124833333333331,14.741034482758616,6.878499999999999,0.4277038519259629
5015116234008,0796926641631,B0D987DG92,BIRTHDAY CARD AGE 6 WITH STARS DESIGN,https://www.clearance-king.co.uk/rainbow-colours-age-6-birthday-card.html,https://www.amazon.co.uk/dp/B0D987DG92,300.0,Available (see Keepa data),,1.0,0.38,0.3166666666666667,13.99,11.658333333333333,2.1,2.18,2.331666666666667,0.06333333333333335,7.378333333333334,2.2683333333333335,4.61,14.557894736842105,5.16,0.39542530378842033
,5060588160829,B07FKQLPFV,DRAINPIPE GUARDS - PACK OF 2,https://www.clearance-king.co.uk/drainpipe-guards-2-pack.html,https://www.amazon.co.uk/dp/B07FKQLPFV,100.0,Available (see Keepa data),,1.0,1.49,1.2416666666666667,38.24,31.86666666666667,4.97,3.04,6.373333333333334,0.24833333333333332,23.85666666666667,6.125000000000001,17.23166666666667,13.87785234899329,10.0,0.5407426778242678
886767258546,,B07F9ZDT8K,TOP BLOKE'S PERSONAL RESERVE - ENGRAVED FLASK GIFT - AWESOME GRANDAD,https://www.clearance-king.co.uk/top-bloke-hip-flask-grandad.html,https://www.amazon.co.uk/dp/B07F9ZDT8K,,,,,0.88,0.7333333333333334,24.99,20.825,3.7484999999999995,2.8,4.165,0.1466666666666667,14.276499999999999,4.0183333333333335,9.758166666666664,13.306590909090904,7.9285,0.468579431772709
5055923720134,,B0CL9T9M2R,"HANDY COMPACT MIRROR ""SMILE!""",https://www.clearance-king.co.uk/handy-compact-mirror-smile.html,https://www.amazon.co.uk/dp/B0CL9T9M2R,50.0,Available (see Keepa data),,1.0,0.5,0.4166666666666667,16.99,14.158333333333333,2.55,2.82,2.8316666666666666,0.08333333333333334,8.78833333333333,2.748333333333333,5.539999999999997,13.295999999999992,6.369999999999999,0.3912889935256031
041457034828,,B0055Y9AIY,GOODY MINI SPIN PINS BRUNETTE SIMPLE STYLES,https://www.clearance-king.co.uk/goody-mini-spin-pins-brunette-simple-styles.html,https://www.amazon.co.uk/dp/B0055Y9AIY,,,,,0.58,0.48333333333333334,18.34,15.283333333333333,2.751,2.8,3.056666666666667,0.09666666666666666,9.732333333333335,2.9600000000000004,6.272333333333334,12.977241379310346,6.631,0.4104034896401309
,0711414222536,B07VFH1QMC,Pets That Play Squeaky Dog Toy - For Small / Medium Dogs - Assorted Colours,https://www.clearance-king.co.uk/pets-that-play-squeaky-dog-toy-for-small-medium-dogs-assorted-colours.html,https://www.amazon.co.uk/dp/B07VFH1QMC,100.0,Available (see Keepa data),,1.0,0.75,0.625,21.99,18.325,3.3,3.04,3.665,0.12500000000000003,11.985,3.54,7.945,12.712,7.59,0.43356070941336977
,0710667617649,B088RF2MHN,FIg & Olive Reusable Ice Cubes - PACK OF 20,https://www.clearance-king.co.uk/fig-olive-reusable-ice-cubes-20-pack.html,https://www.amazon.co.uk/dp/B088RF2MHN,50.0,Available (see Keepa data),,1.0,0.79,0.6583333333333334,21.99,18.325,3.3,2.72,3.665,0.1316666666666667,12.304999999999996,3.533333333333333,8.271666666666663,12.564556962025309,7.3100000000000005,0.45138699408822175
,0711414222185,B07QLT8WHG,DOG SQUEAKY CHEW TOY BLUE & RED,https://www.clearance-king.co.uk/dog-squeaky-chew-toy-blue-0-50.html,https://www.amazon.co.uk/dp/B07QLT8WHG,300.0,Available (see Keepa data),,1.0,0.69,0.575,19.99,16.65833333333333,3.0,3.04,3.3316666666666666,0.11499999999999999,10.618333333333332,3.216666666666667,6.9016666666666655,12.002898550724636,7.23,0.4143071535767884
,,B0DKG7P3V8,MECHANICAL MOUSE - ASSORTED COLOURS,https://www.clearance-king.co.uk/mechanical-mouse-0-8-6-48-ck.html,https://www.amazon.co.uk/dp/B0DKG7P3V8,,Available (see Keepa data),,1.0,0.62,0.5166666666666667,18.49,15.408333333333333,2.78,3.04,3.0816666666666666,0.10333333333333333,9.588333333333331,2.978333333333333,6.109999999999998,11.825806451612898,6.9399999999999995,0.39653866955110856
,,B092J2PC5L,Squeaky Doggy Play Toy Slippers - Assorted Colours - Pack Of 2,https://www.clearance-king.co.uk/squeaky-doggy-play-toy-slippers-assorted-colours-pack-of-2.html,https://www.amazon.co.uk/dp/B092J2PC5L,50.0,Available (see Keepa data),,2.0,0.73,0.6083333333333334,19.99,16.65833333333333,3.0,2.94,3.3316666666666666,0.12166666666666666,10.718333333333332,3.21,7.008333333333332,11.520547945205475,7.17,0.42071035517758876
,,B0DFPGJR8Y,Pets That Play Dog Play Toy - For Small / Medium Dogs - Assorted Shapes,https://www.clearance-king.co.uk/pets-that-play-dog-play-toy-for-small-medium-dogs-assorted-shapes.html,https://www.amazon.co.uk/dp/B0DFPGJR8Y,,Available (see Keepa data),,1.0,0.75,0.625,19.99,16.65833333333333,3.0,3.04,3.3316666666666666,0.12500000000000003,10.618333333333332,3.2066666666666666,6.911666666666665,11.058666666666664,7.29,0.4149074537268634
,,B0CGL5KDSQ,Pet Touch Combat Dog Squeaky Dog Play Toy - Assorted Colours - 16 x 6cm,https://www.clearance-king.co.uk/pet-touch-combat-dog-squeaky-dog-play-toy-assorted-colours-16-x-6cm.html,https://www.amazon.co.uk/dp/B0CGL5KDSQ,,Available (see Keepa data),,1.0,0.75,0.625,19.99,16.65833333333333,3.0,3.04,3.3316666666666666,0.12500000000000003,10.618333333333332,3.2066666666666666,6.911666666666665,11.058666666666664,7.29,0.4149074537268634
5031413923377,0850054732248,B0DH6ZZ4R5,Head Shock Nourishing Printed Hair Mask - Banana Extract & Glycerin - 25ml - EXP: 11/24,https://www.clearance-king.co.uk/head-shock-nourishing-printed-hair-mask-banana-extract-glycerin-25ml.html,https://www.amazon.co.uk/dp/B0DH6ZZ4R5,,Available (see Keepa data),,1.0,0.63,0.525,16.74,13.95,2.51,3.04,2.79,0.10500000000000001,8.399999999999999,2.685,5.214999999999998,9.93333333333333,6.68,0.37383512544802855
,5060031417500,B07BL14R13,MULTIPURPOSE PLASTIC UTILITY TRAY - BLACK -,https://www.clearance-king.co.uk/multipurpose-plastic-utility-tray.html,https://www.amazon.co.uk/dp/B07BL14R13,,,Available (see Keepa data),1.0,1.2,1.0,26.84,22.366666666666667,4.03,4.15,4.473333333333334,0.2,14.186666666666664,4.273333333333333,9.41333333333333,9.41333333333333,9.88,0.42086438152011907
,5060692672355,B09JWSVR9K,Home Smart - Hot Water Bottle Cover - Plush - 2L,https://www.clearance-king.co.uk/hot-water-bottle-2.html,https://www.amazon.co.uk/dp/B09JWSVR9K,,,Available (see Keepa data),1.0,0.62,0.5166666666666667,15.99,13.325000000000001,2.4,3.15,2.6650000000000005,0.10333333333333333,7.774999999999999,2.561666666666667,4.713333333333331,9.122580645161285,6.67,0.353721075672295
,5061001652631,B0CVHBVS7D,PEST SHIELD ADVANCED WEED KILLER - 500ML,https://www.clearance-king.co.uk/500ml-petshield-advanced-weed-killer-0-12-ck.html,https://www.amazon.co.uk/dp/B0CVHBVS7D,,Available (see Keepa data),,1.0,0.99,0.8250000000000001,19.99,16.65833333333333,3.0,2.82,3.3316666666666666,0.165,10.838333333333331,3.1666666666666665,7.171666666666665,8.692929292929291,7.3100000000000005,0.4305152576288144
5060226063611,,B0CQ7GLH2D,Pet Buddies Automatic Pet Drink Dispenser - 2 Piece - Assorted Colours,https://www.clearance-king.co.uk/pet-buddies-automatic-pet-drink-dispenser-2-piece-assorted-colours.html,https://www.amazon.co.uk/dp/B0CQ7GLH2D,100.0,Available (see Keepa data),,2.0,1.15,0.9583333333333333,25.99,21.65833333333333,3.9,4.99,4.331666666666667,0.19166666666666665,12.768333333333334,4.140000000000001,8.128333333333334,8.481739130434784,10.54,0.3752981916121586
,0723247974261,B08HC9FSSK,BIO GEL BUNION PROTECTORS - PACK OF 2,https://www.clearance-king.co.uk/gel-bunion-protectors-12-48.html,https://www.amazon.co.uk/dp/B08HC9FSSK,300.0,Available (see Keepa data),,2.0,0.62,0.5166666666666667,12.99,10.825000000000001,1.95,2.07,2.1650000000000005,0.10333333333333333,6.805,2.061666666666667,4.243333333333332,8.212903225806448,5.14,0.3919938414164741
5023668692481,0785046512068,B0811WGW4R,WHITE CANDY BOXES SET OF 4 : 9 X 9 X 6 CM,https://www.clearance-king.co.uk/4pc-candy-box-white-9x9x6-cm.html,https://www.amazon.co.uk/dp/B0811WGW4R,,Available (see Keepa data),,1.0,0.48,0.4,10.99,9.158333333333333,1.65,2.16,1.8316666666666668,0.08,5.348333333333333,1.7516666666666667,3.096666666666666,7.7416666666666645,4.79,0.338125568698817
5023668692481,0785046512068,B0811WGW4R,CANDY BOX - PINK - 9 X 9 X 6 CM - PACK OF 4,https://www.clearance-king.co.uk/4pc-candy-box-pink-9x9x6-cm.html,https://www.amazon.co.uk/dp/B0811WGW4R,,Available (see Keepa data),,1.0,0.48,0.4,10.99,9.158333333333333,1.65,2.16,1.8316666666666668,0.08,5.348333333333333,1.7516666666666667,3.096666666666666,7.7416666666666645,4.79,0.338125568698817
5023668692481,0785046512068,B0811WGW4R,CANDY BOX - BLUE - 9 X 9 X 6 CM - PACK OF 4,https://www.clearance-king.co.uk/4pc-candy-box-blue-9x9x6-cm.html,https://www.amazon.co.uk/dp/B0811WGW4R,,Available (see Keepa data),,1.0,0.48,0.4,10.99,9.158333333333333,1.65,2.16,1.8316666666666668,0.08,5.348333333333333,1.7516666666666667,3.096666666666666,7.7416666666666645,4.79,0.338125568698817
,0810054210702,B0DWHV6RS4,DOG SQUEAKY RUBBER TOY BLUE,https://www.clearance-king.co.uk/dog-squeaky-rubber-toy-blue-0-120.html,https://www.amazon.co.uk/dp/B0DWHV6RS4,,,,2.0,0.55,0.45833333333333337,13.37,11.141666666666666,2.01,3.06,2.2283333333333335,0.09166666666666669,6.071666666666665,2.1366666666666667,3.4349999999999987,7.4945454545454515,6.119999999999999,0.30830216903515323
,,B0C53VHYRX,Rysons Slug & Snail Trap,https://www.clearance-king.co.uk/rysons-slug-snail-trap.html,https://www.amazon.co.uk/dp/B0C53VHYRX,50.0,Available (see Keepa data),,1.0,1.05,0.8750000000000001,19.28,16.06666666666667,2.89,3.26,3.213333333333334,0.17500000000000002,9.916666666666668,3.038333333333334,6.378333333333334,7.289523809523809,7.7,0.39699170124481326
,0782948464655,B08FST5KW6,Flying Disc Toy For Pet Dogs - 4 Colours - Colours May Vary,https://www.clearance-king.co.uk/flying-disc-toy-for-pet-dogs-4-colours-colours-may-vary.html,https://www.amazon.co.uk/dp/B08FST5KW6,,Available (see Keepa data),Available (see Keepa data),4.0,0.75,0.625,13.49,11.241666666666667,2.02,2.1,2.248333333333334,0.12500000000000003,7.121666666666667,2.123333333333334,4.498333333333333,7.197333333333333,5.37,0.4001482579688658
5037200067200,3600531702199,B0DZXZM6KC,JIINJU CHERRY LIP BALM,https://www.clearance-king.co.uk/jiinju-cherry-lip-balm.html,https://www.amazon.co.uk/dp/B0DZXZM6KC,600.0,Available (see Keepa data),Available (see Keepa data),5.0,0.48,0.4,7.99,6.658333333333334,0.64,1.46,1.3316666666666668,0.08,4.558333333333334,1.2516666666666667,2.8066666666666666,7.016666666666667,3.08,0.4215269086357947
5060129255984,5060129255984,B009O0HK14,GIFT REPUBLIC RED ADMIRAL PAPER WEIGHT,https://www.clearance-king.co.uk/gift-republic-red-admiral-paper-weight.html,https://www.amazon.co.uk/dp/B009O0HK14,,,Available (see Keepa data),1.0,0.58,0.48333333333333334,12.99,10.825000000000001,1.95,2.94,2.1650000000000005,0.09666666666666666,5.9350000000000005,2.068333333333334,3.3666666666666667,6.9655172413793105,5.97,0.31100846805234794
5056175999002,,B09TY3MV6W,LISSEAU SHEET FACE MASK - POMEGRANATE - 27G,https://www.clearance-king.co.uk/pomegranate-face-sheet-mask-0-12-ck.html,https://www.amazon.co.uk/dp/B09TY3MV6W,,Available (see Keepa data),,1.0,0.42,0.35,9.99,8.325000000000001,0.8,3.06,1.6650000000000003,0.07,4.464999999999999,1.5950000000000002,2.3699999999999988,6.771428571428569,4.78,0.2846846846846845
