EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
,6977402870026,B0D49YV587,Digital Pal Virtual Reality Viewer for Smart Phones,https://www.clearance-king.co.uk/digital-pal-virtual-reality-viewer-for-smart-phones.html,https://www.amazon.co.uk/dp/B0D49YV587,,Available (see Keepa data),,1.0,0.28,0.23333333333333336,769.99,641.6583333333334,115.5,5.29,128.33166666666668,0.046666666666666676,520.8683333333333,128.28500000000003,392.0833333333333,1680.3571428571427,121.57000000000001,0.6110468967129442
9780007258352,,B01B98DQLQ,THE CHRONICLES OF NARNIA: PRINCE CASPIAN- MOVIE STORYBOOK,https://www.clearance-king.co.uk/the-chronicles-of-narnia-prince-caspian-movie-storybook.html,https://www.amazon.co.uk/dp/B01B98DQLQ,,,Available (see Keepa data),2.0,0.44,0.3666666666666667,78.02,65.01666666666667,11.7,2.16,13.003333333333334,0.07333333333333335,51.156666666666666,12.93,37.72666666666667,102.89090909090908,14.799999999999999,0.5802614714175852
5020910040991,6925828216836,B07XT288Y5,MULTI PURPOSE CLEANING GLOVE - ASSORTED COLOURS,https://www.clearance-king.co.uk/multi-purpose-cleaning-glove-25-300-ck.html,https://www.amazon.co.uk/dp/B07XT288Y5,700.0,Available (see Keepa data),,1.0,0.28,0.23333333333333336,21.99,18.325,2.86,3.15,3.665,0.046666666666666676,12.314999999999998,3.618333333333333,8.196666666666665,35.12857142857142,6.789999999999999,0.447294224647567
5011397083236,,B0BMB6RRKP,Light-Up Meteor Ball - Assorted Colours,https://www.clearance-king.co.uk/5-pack-bouncy-balls-1.html,https://www.amazon.co.uk/dp/B0BMB6RRKP,,Available (see Keepa data),,2.0,0.57,0.475,29.99,24.991666666666667,4.5,3.1,4.998333333333334,0.095,17.391666666666662,4.903333333333334,11.988333333333328,25.23859649122806,8.67,0.47969323107702544
5012866082095,5060267854025,B07NQKVNT4,Dominoes In Compact Wooden Box,https://www.clearance-king.co.uk/dominoes-in-compact-wooden-box.html,https://www.amazon.co.uk/dp/B07NQKVNT4,200.0,Available (see Keepa data),,2.0,0.55,0.45833333333333337,28.99,24.15833333333333,4.35,3.25,4.831666666666667,0.09166666666666669,16.558333333333334,4.74,11.318333333333333,24.69454545454545,8.649999999999999,0.4685063815108659
5060120173799,,B0F1YL4S3P,XBC Xpel Body Care Gold Collagen Facial Mask - Exp: 06/23,https://www.clearance-king.co.uk/xbc-xpel-body-care-gold-collagen-facial-mask.html,https://www.amazon.co.uk/dp/B0F1YL4S3P,,Available (see Keepa data),,1.0,0.15,0.125,8.98,7.483333333333334,0.72,2.65,1.496666666666667,0.025,4.113333333333332,1.4716666666666671,2.1416666666666653,17.133333333333322,4.02,0.2861915367483294
,,B07QQKL598,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,300.0,,,,0.28,0.23333333333333336,13.99,11.658333333333333,2.0985,2.8,2.331666666666667,0.046666666666666676,6.759833333333333,2.285,3.9748333333333328,17.034999999999997,5.6785,0.3409435310936383
BZCT-5GR-5,5060323930960,B00EOTHDWQ,Babz Grey CAT 5E UTP Cable - 5M,https://www.clearance-king.co.uk/daewoo-tv-to-video-lead-plug-to-socket-male-to-female-2-metres-12.html,https://www.amazon.co.uk/dp/B00EOTHDWQ,500.0,Available (see Keepa data),,1.0,1.04,0.8666666666666667,23.99,19.991666666666667,3.6,3.25,3.9983333333333335,0.17333333333333337,13.141666666666664,3.825,8.816666666666663,10.173076923076918,8.39,0.4410170904543558
5050375947849,,B0BYJ5LCWV,PEST SHIELD EXTRA STRENGTH MOUSE GLUE TRAPS - PACK OF 3,https://www.clearance-king.co.uk/3pk-mouse-trap-glue-boards-0-24-ck.html,https://www.amazon.co.uk/dp/B0BYJ5LCWV,100.0,Available (see Keepa data),,1.0,0.4,0.33333333333333337,9.99,8.325000000000001,0.7,2.94,1.6650000000000003,0.06666666666666668,4.685000000000001,1.5983333333333336,2.586666666666668,7.7600000000000025,4.54,0.3107107107107108
5391542653386,5038580069914,B01AWIIKHY,Carlingford Nightlight Candles - Lavender - Pack of 20,https://www.clearance-king.co.uk/carlingford-superb-quality-night-light-candles-jasmine-pack-of-42.html,https://www.amazon.co.uk/dp/B01AWIIKHY,200.0,Available (see Keepa data),Available (see Keepa data),10.0,1.87,1.5583333333333336,24.89,20.741666666666667,3.73,3.26,4.148333333333334,0.3116666666666667,13.751666666666665,3.836666666666668,9.414999999999997,6.041711229946522,9.36,0.4539172358376857
9780857510822,9780857510822,0857510827,STARDOLL SUPERSTAR STYLIST: HARDBACK BOOK,https://www.clearance-king.co.uk/stardoll-superstar-stylist-hardback-book.html,https://www.amazon.co.uk/dp/0857510827,,,,6.0,0.28,0.23333333333333336,6.99,5.825,1.05,1.87,1.1650000000000003,0.046666666666666676,2.9050000000000002,1.1183333333333336,1.2866666666666666,5.514285714285713,3.7,0.22088698140200286
9780863888212,9780863888212,0863888216,PLAY BETTER GAMES SPIRAL BOOK,https://www.clearance-king.co.uk/play-better-games-spiral-book.html,https://www.amazon.co.uk/dp/0863888216,,,Available (see Keepa data),13.0,5.5,4.583333333333334,48.99,40.825,6.68,2.72,8.165000000000003,0.9166666666666667,31.425,7.248333333333336,23.676666666666666,5.165818181818181,15.4,0.5799550928760971
9780863883132,9780863883132,0863883133,THE REMINISCENCE SKILLS TRAINING HAND BOOK,https://www.clearance-king.co.uk/the-reminiscence-skills-training-hand-book.html,https://www.amazon.co.uk/dp/0863883133,,,Available (see Keepa data),8.0,5.5,4.583333333333334,49.36,41.13333333333333,7.4,2.72,8.226666666666667,0.9166666666666667,31.013333333333335,7.31,23.203333333333337,5.062545454545455,16.12,0.5641004862236629
5056175997145,,B0971Z6BY1,RUBBER DOOR WEDGES CLIPSTRIP - PACK OF 2,https://www.clearance-king.co.uk/2pk-rubber-door-wedges-clipstrip-12-96-ck.html,https://www.amazon.co.uk/dp/B0971Z6BY1,,Available (see Keepa data),,1.0,0.25,0.20833333333333334,5.85,4.875,0.76,1.73,0.975,0.04166666666666667,2.385,0.9333333333333333,0.9516666666666664,4.567999999999999,3.24,0.19521367521367516
5391536748258,5060914416071,B0C9MYV1VG,Homewares+ Shoe Polish - Brown,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-1.html,https://www.amazon.co.uk/dp/B0C9MYV1VG,,,,1.0,0.62,0.5166666666666667,9.99,8.325000000000001,1.5,2.42,1.6650000000000003,0.10333333333333333,4.405,1.561666666666667,2.3433333333333333,4.535483870967742,5.04,0.28148148148148144
9780863888120,9780863888120,0863888127,DEMENTIA CARE THE ADAPTIVE RESPONSE BOOK,https://www.clearance-king.co.uk/dementia-care-the-adaptive-response-book.html,https://www.amazon.co.uk/dp/0863888127,,,Available (see Keepa data),16.0,6.6,5.5,40.99,34.15833333333334,6.15,2.72,6.831666666666667,1.1,25.288333333333338,5.731666666666667,19.056666666666672,3.4648484848484857,15.97,0.5578921688216639
9780007798421,9780007798421,0007798423,FROM BATH CHAPS TO BARA BIRTH BOOK,https://www.clearance-king.co.uk/from-bath-chaps-to-bara-birth-book.html,https://www.amazon.co.uk/dp/0007798423,,,Available (see Keepa data),16.0,0.5,0.4166666666666667,6.99,5.825,1.05,1.87,1.1650000000000003,0.08333333333333334,2.9050000000000002,1.081666666666667,1.3233333333333333,3.1759999999999997,3.92,0.22718168812589412
5056175907397,5056175907397,B07VYPL81F,COOPER & PALS - COLLAPSABLE PORTABLE PET BOWL - ASSORTED COLOURS,https://www.clearance-king.co.uk/portable-pet-bowl-clipstrip-0-12-ck.html,https://www.amazon.co.uk/dp/B07VYPL81F,,Available (see Keepa data),,1.0,0.5,0.4166666666666667,7.99,6.658333333333334,1.2,2.42,1.3316666666666668,0.08333333333333334,3.038333333333333,1.2483333333333335,1.2899999999999996,3.0959999999999988,4.62,0.1937421777221526
5391534082491,5908226955447,B00KM2Z7ZE,Homewares+ Shoe Polish - Black,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-2.html,https://www.amazon.co.uk/dp/B00KM2Z7ZE,200.0,Available (see Keepa data),Available (see Keepa data),2.0,0.62,0.5166666666666667,8.99,7.491666666666667,1.35,2.65,1.4983333333333335,0.10333333333333333,3.4916666666666667,1.3950000000000002,1.5966666666666667,3.090322580645161,5.12,0.21312569521690766
9781407176772,9781407176772,1407176773,PHYSICS AQA GCSE REVISION & EXAM PRACTICE BOOK,https://www.clearance-king.co.uk/physics-aqa-gcse-revision-exam-practice-book.html,https://www.amazon.co.uk/dp/1407176773,,Available (see Keepa data),,9.0,1.65,1.375,11.99,9.991666666666667,1.8,2.72,1.9983333333333335,0.275,5.471666666666666,1.7233333333333336,3.248333333333332,2.3624242424242414,6.67,0.3251042535446204
5060226063390,5016646097699,B0DBHQNTR4,Pets That Play - Premium Pet Bowl - 13.5cm x 5cm - 1 Pint,https://www.clearance-king.co.uk/flat-carcle-duck-6-96-ck-1.html,https://www.amazon.co.uk/dp/B0DBHQNTR4,,,Available (see Keepa data),1.0,0.62,0.5166666666666667,8.79,7.324999999999999,1.32,3.05,1.465,0.10333333333333333,2.954999999999999,1.3616666666666668,1.0933333333333324,2.1161290322580624,5.49,0.14926052332195666
