EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5017403099857,,B0BMGBBPTT,Blackspur Mini Car Blade Fuse Assortment - Pack of 10,https://www.clearance-king.co.uk/60mm-padlock-12-72-t60mm-s-19.html,https://www.amazon.co.uk/dp/B0BMGBBPTT,800.0,,,,0.33,0.275,11.99,9.991666666666667,1.7985,2.8,1.9983333333333335,0.05500000000000001,5.393166666666666,1.9433333333333336,2.9498333333333324,10.726666666666663,5.4285,0.29522935779816506
5017403099864,,B093L93DRC,Blackspur Car Blade Fuse Assortment - Pack of 10,https://www.clearance-king.co.uk/60mm-padlock-12-72-t60mm-s-20.html,https://www.amazon.co.uk/dp/B093L93DRC,400.0,Available (see Keepa data),,1.0,0.42,0.35,8.99,7.491666666666667,1.35,1.73,1.4983333333333335,0.07,4.411666666666667,1.4283333333333335,2.4833333333333334,7.095238095238096,4.0,0.3314794215795328
5060226063390,5016646097699,B0DBHQNTR4,Pets That Play - Premium Pet Bowl - 13.5cm x 5cm - 1 Pint,https://www.clearance-king.co.uk/flat-carcle-duck-6-96-ck-1.html,https://www.amazon.co.uk/dp/B0DBHQNTR4,,,Available (see Keepa data),1.0,0.62,0.5166666666666667,8.79,7.324999999999999,1.32,3.05,1.465,0.10333333333333333,2.954999999999999,1.3616666666666668,1.0933333333333324,2.1161290322580624,5.49,0.14926052332195666
5017403133209,5017403133209,B0CGDM67QX,Blackspur Brass Padlock - 38mm,https://www.clearance-king.co.uk/60mm-padlock-12-72-t60mm-s-18.html,https://www.amazon.co.uk/dp/B0CGDM67QX,,,Available (see Keepa data),1.0,0.57,0.475,8.0,6.666666666666667,1.2,2.8,1.3333333333333335,0.095,2.6666666666666665,1.2383333333333335,0.928333333333333,1.9543859649122801,5.07,0.13924999999999996
